Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
t3xture,GEN,215.4,1.05,138.0,26.0,VCT 2025: Pacific Stage 2,Pacific
Foxy9,GEN,187.1,1.05,124.9,33.0,VCT 2025: Pacific Stage 2,Pacific
Xdll,ZETA,186.2,0.95,122.1,34.0,VCT 2025: Pacific Stage 2,Pacific
n1zzy,TS,189.6,0.91,130.2,39.0,VCT 2025: Pacific Stage 2,Pacific
Rb,NS,187.0,0.97,125.5,28.0,VCT 2025: Pacific Stage 2,Pacific
JitBoyS,TLN,184.7,1.0,118.7,35.0,VCT 2025: Pacific Stage 2,Pacific
BuZz,T1,201.6,1.02,129.4,22.0,VCT 2025: Pacific Stage 2,Pacific
free1ng,DRX,185.4,0.96,120.6,35.0,VCT 2025: Pacific Stage 2,Pacific
Jinboong,DFM,186.9,0.95,122.3,33.0,VCT 2025: Pacific Stage 2,Pacific
ban,GE,205.8,0.98,135.0,30.0,VCT 2025: Pacific Stage 2,Pacific
Ivy,NS,178.9,0.96,114.7,28.0,VCT 2025: Pacific Stage 2,Pacific
Munchkin,GEN,200.9,0.97,129.4,23.0,VCT 2025: Pacific Stage 2,Pacific
crazyguy,RRQ,176.9,0.89,115.9,28.0,VCT 2025: Pacific Stage 2,Pacific
PatMen,PRX,172.0,0.95,116.4,31.0,VCT 2025: Pacific Stage 2,Pacific
iZu,T1,212.4,0.98,136.6,25.0,VCT 2025: Pacific Stage 2,Pacific
Akame,DFM,203.5,0.93,133.2,29.0,VCT 2025: Pacific Stage 2,Pacific
BerserX,BME,186.5,0.94,118.3,23.0,VCT 2025: Pacific Stage 2,Pacific
Shiro,BME,187.5,0.86,127.3,25.0,VCT 2025: Pacific Stage 2,Pacific
Crws,TLN,164.6,0.86,109.9,24.0,VCT 2025: Pacific Stage 2,Pacific
kellyS,TS,187.2,0.83,125.6,19.0,VCT 2025: Pacific Stage 2,Pacific
Kushy,RRQ,168.8,0.85,111.9,32.0,VCT 2025: Pacific Stage 2,Pacific
Papi,GE,170.8,0.86,113.6,27.0,VCT 2025: Pacific Stage 2,Pacific
stax,T1,158.6,0.84,107.9,29.0,VCT 2025: Pacific Stage 2,Pacific
CLZ,ZETA,161.3,0.81,108.3,35.0,VCT 2025: Pacific Stage 2,Pacific
TenTen,ZETA,194.9,0.85,130.8,17.0,VCT 2025: Pacific Stage 2,Pacific
yoman,GE,157.9,0.8,104.0,27.0,VCT 2025: Pacific Stage 2,Pacific
Famouz,BME,197.4,0.84,126.7,18.0,VCT 2025: Pacific Stage 2,Pacific
